"Market Name","Date","Sales","Dollar Volume","Average Price","Median Price","Active Listings EOM","Months Inventory"
"Texas","2000-02-01","13858","1906888516","137602","103705","76665","4.77"
"Texas","2000-01-01","10108","1377639536","136292","102727","76194","4.78"
"Texas","1999-12-01","14893","2012922987","135159","102434","73987","4.64"
"Texas","1999-11-01","13895","1850633365","133187","101260","77193","4.86"
"Texas","1999-10-01","14498","1870676940","129030","99010","78622","4.98"
"Texas","1999-09-01","15805","2044977340","129388","100673","79764","5.07"
"Texas","1999-08-01","18729","2468332368","131792","101455","80737","5.16"
"Texas","1999-07-01","19395","2589969510","133538","104097","80875","5.22"
"Texas","1999-06-01","20705","2877228915","138963","106542","80964","5.24"
"Texas","1999-05-01","17621","2323117398","131838","102727","79732","5.22"
"Texas","1999-04-01","16478","2104537204","127718","98521","78530","5.17"
"Texas","1999-03-01","16779","2118499761","126259","98227","76823","5.1"
"Texas","1999-02-01","12285","1522934595","123967","96760","72136","4.83"
"Texas","1999-01-01","10106","1230233698","121733","93630","72164","4.86"
"Texas","1998-12-01","14219","1778839557","125103","97151","72659","4.92"
"Texas","1998-11-01","12983","1573422753","121191","95488","72537","4.96"
"Texas","1998-10-01","13871","1698018465","122415","95390","76254","5.28"
"Texas","1998-09-01","14519","1762911499","121421","95390","79648","5.54"
"Texas","1998-08-01","17044","2133141820","125155","97836","75714","5.3"
"Texas","1998-07-01","18735","2423259840","129344","99108","81867","5.79"
"Texas","1998-06-01","18630","2416515930","129711","99988","79868","5.74"
"Texas","1998-05-01","16504","2098153520","127130","97836","80716","5.93"
"Texas","1998-04-01","15213","1817892648","119496","93630","81569","6.07"
"Texas","1998-03-01","15186","1808470368","119088","93532","81969","6.21"
"Texas","1998-02-01","11213","1311393989","116953","92162","81052","6.28"
"Texas","1998-01-01","9062","1030847810","113755","89521","80753","6.34"
"Texas","1997-12-01","12555","1526499675","121585","94608","79749","6.3"
"Texas","1997-11-01","10710","1251966870","116897","91575","82287","6.58"
"Texas","1997-10-01","13283","1555665111","117117","90793","84956","6.82"
"Texas","1997-09-01","13421","1566056227","116687","91771","89266","7.26"
"Texas","1997-08-01","15286","1822717926","119241","92260","91312","7.53"
"Texas","1997-07-01","15982","1902561208","119044","93532","93348","7.74"
"Texas","1997-06-01","14841","1771050735","119335","93336","92460","7.74"
"Texas","1997-05-01","14387","1670891793","116139","90402","94600","7.97"
"Texas","1997-04-01","12351","1392797568","112768","87565","92569","7.8"
"Texas","1997-03-01","11746","1323633248","112688","87663","90589","7.61"
"Texas","1997-02-01","9277","1012120700","109100","86782","88908","7.45"
"Texas","1997-01-01","8022","889447272","110876","85706","86207","7.22"
"Texas","1996-12-01","10834","1215271448","112172","87760","84705","7.11"
"Texas","1996-11-01","10031","1093248597","108987","86195","90332","7.63"
"Texas","1996-10-01","11316","1234711392","109112","86195","91857","7.76"
"Texas","1996-09-01","11454","1236676926","107969","85706","95404","8.09"
"Texas","1996-08-01","14459","1587395774","109786","86880","95607","8.13"
"Texas","1996-07-01","14694","1648931292","112218","88152","95291","8.12"
"Texas","1996-06-01","13782","1563981360","113480","89130","94818","8.2"
"Texas","1996-05-01","14509","1603288027","110503","86293","93955","8.16"
"Texas","1996-04-01","12687","1353791709","106707","85315","91203","8.06"
"Texas","1996-03-01","12094","1291179628","106762","85608","88969","8.1"
"Texas","1996-02-01","9301","975833017","104917","84435","88128","8.16"
"Texas","1996-01-01","7779","820544478","105482","83750","84044","7.91"
"Texas","1995-12-01","9933","1043908635","105095","83065","78985","7.51"
"Texas","1995-11-01","9984","1029290496","103094","83261","84324","8.05"
"Texas","1995-10-01","10836","1112087844","102629","81402","86075","8.28"
"Texas","1995-09-01","11056","1148176656","103851","82869","87557","8.52"
"Texas","1995-08-01","14162","1505250656","106288","84532","88589","8.65"
"Texas","1995-07-01","12624","1329244080","105295","84532","87705","8.65"
"Texas","1995-06-01","13241","1390940568","105048","84435","84846","8.42"
"Texas","1995-05-01","12004","1220014536","101634","80620","87055","8.65"
"Texas","1995-04-01","8768","862183744","98333","78174","86048","8.53"
"Texas","1995-03-01","9841","984956167","100087","78663","87416","8.49"
"Texas","1995-02-01","7237","718757129","99317","78761","83910","8.03"
"Texas","1995-01-01","6593","662642651","100507","76120","80883","7.71"
"Texas","1994-12-01","9409","965476308","102612","79641","77311","7.33"
"Texas","1994-11-01","8916","883379448","99078","78565","77842","7.31"
"Texas","1994-10-01","9514","935530648","98332","79152","80988","7.57"
"Texas","1994-09-01","10621","1049333558","98798","79935","82629","7.69"
"Texas","1994-08-01","12838","1347681888","104976","81402","84761","7.88"
"Texas","1994-07-01","11951","1236091930","103430","82478","84816","7.91"
"Texas","1994-06-01","13064","1347225000","103125","82576","83610","7.8"
"Texas","1994-05-01","12248","1231609888","100556","80815","84028","7.87"
"Texas","1994-04-01","11374","1143837684","100566","80228","81659","7.75"
"Texas","1994-03-01","11646","1173369438","100753","80130","80003","7.71"
"Texas","1994-02-01","7711","757983589","98299","79054","77655","7.65"
"Texas","1994-01-01","7233","701608233","97001","76413","81245","8.03"
"Texas","1993-12-01","10698","1055625150","98675","79054","78896","7.84"
"Texas","1993-11-01","9562","951744108","99534","80130","84651","8.5"
"Texas","1993-10-01","10023","985140624","98288","78565","86651","8.76"
"Texas","1993-09-01","10779","1036842789","96191","77391","87189","8.9"
"Texas","1993-08-01","12327","1217143326","98738","79641","89737","9.23"
"Texas","1993-07-01","11971","1222035593","102083","80424","91002","9.5"
"Texas","1993-06-01","12590","1291948030","102617","80424","92234","9.73"
"Texas","1993-05-01","10530","1043691480","99116","79348","92711","9.91"
"Texas","1993-04-01","9428","909764288","96496","77489","92618","9.95"
"Texas","1993-03-01","8943","840168021","93947","77000","90028","9.67"
"Texas","1993-02-01","7341","661923288","90168","73185","87927","9.4"
"Texas","1993-01-01","6557","600844138","91634","73772","85543","9.21"
"Texas","1992-12-01","9517","873232335","91755","75924","81398","8.81"
"Texas","1992-11-01","8632","776862736","89998","76315","88024","9.71"
"Texas","1992-10-01","9004","823956040","91510","75924","90797","10.07"
"Texas","1992-09-01","9765","888107220","90948","76315","93259","10.42"
"Texas","1992-08-01","10640","1010800000","95000","77000","94680","10.69"
"Texas","1992-07-01","10802","992811820","91910","76609","97424","11"
"Texas","1992-06-01","11052","1035716076","93713","74555","97290","11.05"
"Texas","1992-05-01","9974","929985734","93241","76022","97247","11.1"
"Texas","1992-04-01","9473","880032227","92899","75337","96665","10.98"
"Texas","1992-03-01","9538","878840858","92141","75142","89819","10.29"
"Texas","1992-02-01","6444","595116288","92352","73870","90536","10.54"
